Date,food_name,typeoffood,protein,carb,fat,sugar,fiber,calories
2025-10-01,Egg,healthy,24,2,10,0,0,280
2025-10-01,Rice,healthy,4,45,0,0,0,200
2025-10-01,Kurkure,junk,2,20,8,0,0,150
2025-10-01,Sev_puri,junk,4,40,10,0,0,250
2025-10-01,Dragon_fruit,healthy,2,23,0.2,13,6,120
2025-10-01,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-02,Basil_pesto_pasta,healthy,76,308,96,8.16,16.32,2424
2025-10-02,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-03,Chapati,healthy,3,18,3,0,2,120
2025-10-03,Paneer_gravy,healthy,12,6,14,0,0,200
2025-10-03,Upma,healthy,5,35,6,0,2,220
2025-10-03,Prawns_tempura,healthy,15,40,15,0,2,350
2025-10-03,Prawns_hunan,healthy,25,10,12,0,0,250
2025-10-03,Caramel_popcorn,junk,1,25,4,24,2,120
2025-10-03,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-03,Dragon_fruit,healthy,2,0.2,13,6,120,60
2025-10-04,Chicken_tikka,healthy,28,10,10,3,1,220
2025-10-04,Chicken_biryani,healthy,22,60,20,7,3,550
2025-10-04,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-04,Kiwi,healthy,2,22,0.8,13,4,90
2025-10-05,Rice,healthy,4,45,0,0,0,200
2025-10-05,Egg,healthy,12,2,10,1,0,140
2025-10-05,protein_bar,healthy,20,23,7,5,3,250
2025-10-05,burji,healthy,35,15,28,2,1,400
2025-10-05,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-06,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-06,Dragon_fruit,healthy,1,11.5,0.1,6.5,3,60
2025-10-06,Chapati,healthy,3,18,3,0,2,120
2025-10-06,Paneer_gravy,healthy,12,6,14,0,0,200
2025-10-06,Dal,healthy,9,25,5,3,4,180
2025-10-06,Chicken_rice,healthy,18,50,10,2,2,400
2025-10-06,Chicken_gravy,healthy,12,8,12,3,3,200
2025-10-07,Egg,healthy,12,2,10,1,0,140
2025-10-07,egg_rice,healthy,12,40,10,2,2,300
2025-10-07,americano,healthy,1,2,0,0,0,15
2025-10-08,eggs,healthy,30,10,50,2,0,350
2025-10-08,Rice,healthy,4,45,0,0,0,200
2025-10-08,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-08,Dragon_fruit,healthy,1,11.5,0.1,6.5,3,60
2025-10-09,Egg,healthy,12,2,10,1,0,140
2025-10-09,americano,healthy,1,2,0,0,0,15
2025-10-09,protein_bar,healthy,10,11.5,3.5,2.5,1.5,125
2025-10-09,Banana,healthy,1.3,27,0.3,14,3,105
2025-10-10,Dragon_fruit,healthy,2,23,0.2,13,6,120
2025-10-10,Chilli_chicken,healthy,30,15,20,5,2,350
2025-10-10,mocha_frappe,junk,5,50,15,30,2,400
2025-10-11,egg_rice,healthy,12,40,10,2,2,300
2025-10-12,mocha_frappe,junk,5,50,15,30,2,400
2025-10-12,Prawns_tempura,healthy,15,40,15,0,2,350
2025-10-12,americano,healthy,1,2,0,0,0,15
2025-10-12,Prawns_hunan,healthy,25,10,12,0,0,250
2025-10-13,egg_rice,healthy,12,40,10,2,2,300
2025-10-13,Dal,healthy,9,25,5,3,4,180
2025-10-13,protein_bar,healthy,6.5,5.5,1.7,1.2,0.75,62
2025-10-14,Chicken_rice,healthy,36,100,20,4,4,800
2025-10-14,mocha_frappe,junk,5,50,15,30,2,400
2025-10-15,Dragon_fruit,healthy,2,23,0.2,13,6,120
2025-10-15,Egg,healthy,12,2,10,1,0,140
2025-10-15,protein_bar,healthy,10,11.5,3.5,2.5,1.5,125
2025-10-15,Rice,healthy,4,45,0,0,0,200
2025-10-15,garlic_bread,junk,6,30,10,2,2,200
2025-10-15,Sev_puri,junk,4,40,10,0,0,250
2025-10-16,egg_rice,healthy,12,40,10,2,2,300
2025-10-16,mocha_frappe,junk,5,50,15,30,2,400
2025-10-17,pan_fried_noodles,healthy,8,60,10,5,3,350
2025-10-17,Paneer_gravy,healthy,12,6,14,0,0,200
2025-10-17,mocha_frappe,junk,5,50,15,30,2,400
2025-10-18,Dragon_fruit,healthy,2,23,0.2,13,6,120
2025-10-18,americano,healthy,1,2,0,0,0,15
2025-10-18,fish_and_chips,junk,15,45,20,2,3,400
2025-10-19,americano,healthy,1,2,0,0,0,15
2025-10-19,chicken_pasta,healthy,30,70,15,5,4,550
2025-10-19,mocha_frappe,junk,5,50,15,30,2,400
2025-10-20,mocha_frappe,junk,5,50,15,30,2,400
2025-10-20,tofu_croissant,healthy,15,30,10,3,2,300
2025-10-20,egg_croissant,healthy,12,28,12,2,1,280
2025-10-20,americano,healthy,1,2,0,0,0,15
